decay_0,dec_up_0,dec_dn_0,decay_1,dec_up_1,dec_dn_1,decay_2,dec_up_2,dec_dn_2,decay_3,dec_up_3,dec_dn_3,decay_4,dec_up_4,dec_dn_4,decay_5,dec_up_5,dec_dn_5,decay_6,dec_up_6,dec_dn_6,decay_7,dec_up_7,dec_dn_7,decay_8,dec_up_8,dec_dn_8,decay_9,dec_up_9,dec_dn_9,decay_10,dec_up_10,dec_dn_10,decay_11,dec_up_11,dec_dn_11,decay_12,dec_up_12,dec_dn_12,decay_13,dec_up_13,dec_dn_13,decay_14,dec_up_14,dec_dn_14,decay_15,dec_up_15,dec_dn_15,decay_16,dec_up_16,dec_dn_16,decay_17,dec_up_17,dec_dn_17,decay_18,dec_up_18,dec_dn_18,decay_19,dec_up_19,dec_dn_19,decay_20,dec_up_20,dec_dn_20,decay_21,dec_up_21,dec_dn_21,decay_22,dec_up_22,dec_dn_22,decay_23,dec_up_23,dec_dn_23,decay_24,dec_up_24,dec_dn_24,decay_25,dec_up_25,dec_dn_25,decay_26,dec_up_26,dec_dn_26,decay_27,dec_up_27,dec_dn_27,dec_tot,dec_tot_up,dec_tot_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,3.3333333333333335,grd,0
0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,1.5,1.5,0,3.3333333333333335,grd,0
1.2,1.2,0.8,0.6,0.6,0.4,1.4,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.9,1.3,0.5,0.5,1,3.3333333333333335,lam,1
1.8,2.0,1.3,0.8,0.9,0.6,0.7,0.7,0.5,0.4,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.5,1.6,0.5,1.5,1,3.3333333333333335,lam,1
10.2,10.1,7.2,11.6,11.5,8.2,8.6,8.6,6.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,17.6,12.6,1.5,0.5,1,3.3333333333333335,lam,1
2.2,2.2,1.5,2.5,2.4,1.7,0.5,0.5,0.3,2.8,4.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,5.2,3.6,1.5,1.5,1,3.3333333333333335,lam,1
13.6,12.8,9.6,15.3,14.4,10.7,3.2,3.0,2.2,0.9,1.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,19.5,14.5,2.5,1.5,1,3.3333333333333335,lam,1
0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.4,46.5,45.5,32.5,7.5,7.3,5.2,149.5,150.5,105.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.1,157.4,110.8,0.5,0.5,1,3.3333333333333335,rho,1
0.0,0.0,0.0,0.0,0.0,0.0,23.4,22.3,16.4,6.3,6.1,4.4,51.6,49.9,36.3,18.7,19.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,58.2,42.2,1.5,0.5,1,3.3333333333333335,rho,1
0.8,0.8,0.6,1.0,1.0,0.7,0.9,0.8,0.6,0.7,0.7,0.5,1.7,1.7,1.2,2.5,2.5,1.7,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.8,1.2,0.0,0.0,0.0,5.1,8.8,4.7,0.0,0.0,0.0,14.2,9.6,5.4,1.5,0.5,2,3.3333333333333335,lam,2
2.3,2.2,1.6,2.6,2.6,1.8,2.1,2.1,1.4,0.1,0.1,0.1,3.8,3.9,2.6,0.4,0.4,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,4.2,2.7,0.0,0.0,0.0,16.5,25.7,14.1,0.0,0.0,0.0,31.7,26.7,14.9,2.5,0.5,2,3.3333333333333335,lam,2
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,1.1,0.7,0.3,0.3,0.2,3.7,4.0,2.6,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.8,4.6,0.0,0.0,0.0,14.2,24.3,13.0,0.0,0.0,0.0,25.8,25.5,14.0,0.5,1.5,2,3.3333333333333335,lam,2
0.9,0.9,0.6,1.0,1.0,0.7,0.2,0.2,0.2,1.5,1.5,1.0,0.5,0.5,0.3,5.3,5.3,3.7,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,9.4,6.3,0.0,0.0,0.0,18.6,25.1,14.8,0.0,0.0,0.0,36.9,27.4,16.6,1.5,1.5,2,3.3333333333333335,lam,2
2.0,1.9,1.4,2.3,2.2,1.6,0.5,0.4,0.3,1.3,1.3,0.9,0.8,0.8,0.6,4.6,4.6,3.2,0.1,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,15.4,10.4,0.0,0.0,0.0,21.7,25.4,15.7,0.0,0.0,0.0,47.9,30.2,19.3,2.5,1.5,2,3.3333333333333335,lam,2
2.7,2.7,1.9,3.1,3.1,2.2,0.7,0.7,0.5,0.6,0.6,0.4,1.3,1.3,0.9,2.5,2.8,1.8,0.2,0.2,0.1,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,27.5,18.6,0.0,0.0,0.0,11.9,16.5,9.4,0.0,0.0,0.0,48.7,32.5,21.2,3.5,1.5,2,3.3333333333333335,lam,2
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.3,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.7,1.1,0.6,0.0,0.0,0.0,1.6,1.2,0.7,0.5,0.5,0,3.3333333333333335,rpl,2
0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.6,0.0,0.0,0.0,1.1,1.2,0.8,0.0,0.0,0.0,2.7,1.6,1.0,1.5,1.5,0,3.3333333333333335,rpl,2
0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.3,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.4,0.4,0.3,1.0,1.0,0.7,4.5,4.8,3.2,0.0,0.0,0.0,11.1,11.4,7.9,0.1,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.3,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,1.4,1.5,1.0,0.0,0.0,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,12.6,8.7,0.5,0.5,0,3.3333333333333335,rpr,2
0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.3,0.3,0.2,0.0,0.0,0.0,0.3,0.3,0.2,0.9,0.9,0.6,0.3,0.3,0.2,0.2,1.4,0.2,0.7,0.8,0.5,16.9,18.1,12.1,0.0,0.0,0.0,0.1,0.1,0.1,0.4,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.1,0.1,0.1,0.0,0.3,0.0,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,18.2,12.2,1.5,1.5,0,3.3333333333333335,rpr,2
0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,1.5,37.1,37.2,26.3,5.6,5.5,4.0,117.8,117.8,83.5,0.0,0.0,0.0,45.1,47.8,32.3,26.8,33.8,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,10.4,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,137.2,95.8,1.5,0.5,2,3.3333333333333335,mix,2
0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.4,16.6,4.6,4.6,3.2,51.7,50.7,36.0,22.8,23.8,16.1,0.0,0.0,0.0,9.6,10.2,6.8,5.6,6.8,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.1,62.1,43.7,2.5,0.5,2,3.3333333333333335,mix,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.3,0.0,0.0,0.0,1.7,1.8,1.2,0.0,0.0,0.0,0.4,0.4,0.3,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.9,1.3,0.5,0.5,1,3.3333333333333335,mix,2
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.2,0.2,0.2,1.0,1.0,0.7,0.9,0.9,0.6,0.0,0.0,0.0,0.4,0.4,0.3,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.6,1.0,1.5,0.5,1,3.3333333333333335,mix,2
0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.4,1.0,8.0,8.0,5.7,5.1,5.4,3.7,13.0,13.3,9.3,0.0,0.0,0.0,15.1,14.9,10.7,13.8,15.8,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,5.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.4,27.7,19.0,0.5,0.5,0,3.3333333333333335,mix,2
14.1,14.0,10.1,14.2,14.2,10.2,9.6,9.6,6.9,6.1,5.9,4.3,21.2,21.2,15.3,10.3,10.3,7.4,0.8,0.8,0.6,4.2,4.6,3.1,10.3,10.2,7.4,60.1,66.2,44.0,0.0,0.0,0.0,151.0,159.1,109.6,0.1,0.1,0.1,0.6,0.6,0.5,0.7,0.7,0.5,1.6,2.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,2.5,18.9,21.1,13.9,0.0,0.0,0.0,0.3,2.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.7,177.1,121.6,1.5,0.5,2,3.3333333333333335,rho,2
22.7,22.3,16.1,25.6,25.2,18.2,22.5,22.2,16.0,5.2,5.4,3.7,50.2,49.4,35.6,23.8,24.4,17.0,2.0,2.0,1.5,7.1,8.5,5.2,2.9,3.9,2.2,11.5,14.0,8.5,0.0,0.0,0.0,30.9,37.5,22.9,1.0,1.1,0.8,1.8,1.8,1.3,0.1,0.2,0.1,3.8,5.3,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.2,0.7,3.6,4.4,2.7,0.0,0.0,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.9,80.2,55.4,2.5,0.5,2,3.3333333333333335,rho,2
21.0,22.4,14.8,18.1,19.5,12.8,1.5,1.9,1.1,11.4,11.3,8.0,3.3,4.4,2.5,24.4,24.4,17.2,0.4,0.6,0.3,9.4,9.7,6.7,16.3,16.1,11.4,3.6,4.0,2.6,1.5,17.7,1.5,9.1,9.7,6.5,421.9,473.4,311.0,0.0,0.0,0.0,1.0,1.1,0.7,1.6,1.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.4,3.8,1.2,1.3,0.8,0.2,2.8,0.2,1.2,4.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.6,476.0,312.6,0.5,1.5,2,3.3333333333333335,rho,2
15.7,16.2,11.2,16.0,16.3,11.4,2.7,2.8,1.9,9.0,8.9,6.4,6.0,6.2,4.3,11.7,12.1,8.3,1.0,1.0,0.7,19.1,18.8,13.5,31.5,31.2,22.2,7.2,7.6,5.2,0.9,9.8,0.9,17.7,18.4,12.7,221.0,232.8,159.3,0.2,0.2,0.1,1.4,1.4,1.0,2.3,2.8,1.7,0.0,0.0,0.0,0.0,0.0,0.0,10.6,10.5,7.5,2.3,2.5,1.7,0.1,1.7,0.1,2.8,8.6,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.3,238.8,163.4,1.5,1.5,2,3.3333333333333335,rho,2
13.6,13.3,9.4,16.9,16.5,11.8,4.4,4.3,3.1,11.0,10.8,7.7,9.9,9.6,6.9,34.0,33.3,23.7,1.6,1.6,1.1,14.2,13.8,9.9,19.0,18.4,13.2,4.6,4.6,3.2,0.5,4.1,0.5,11.2,11.1,7.8,43.0,41.7,29.9,0.4,0.4,0.3,1.2,1.1,0.8,3.9,4.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.2,4.4,1.5,1.5,1.0,0.1,0.9,0.1,2.7,6.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.1,65.7,46.8,2.5,1.5,2,3.3333333333333335,rho,2
29.8,29.9,20.8,33.1,33.4,23.0,7.0,7.0,4.9,23.1,24.1,16.2,15.6,15.9,10.9,92.5,95.2,64.8,2.5,2.6,1.8,47.8,50.2,33.6,39.5,42.9,28.0,3.8,4.9,2.9,0.2,1.0,0.2,10.6,13.6,7.9,32.6,60.8,27.0,0.5,0.5,0.4,0.9,1.0,0.6,6.9,8.3,5.1,0.0,0.1,0.0,0.0,0.0,0.0,12.7,13.9,9.0,1.2,1.6,0.9,0.0,0.3,0.0,1.9,4.6,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.3,143.3,91.6,3.5,1.5,2,3.3333333333333335,rho,2
