decay_0,dec_up_0,dec_dn_0,decay_1,dec_up_1,dec_dn_1,decay_2,dec_up_2,dec_dn_2,decay_3,dec_up_3,dec_dn_3,decay_4,dec_up_4,dec_dn_4,decay_5,dec_up_5,dec_dn_5,decay_6,dec_up_6,dec_dn_6,decay_7,dec_up_7,dec_dn_7,decay_8,dec_up_8,dec_dn_8,decay_9,dec_up_9,dec_dn_9,decay_10,dec_up_10,dec_dn_10,decay_11,dec_up_11,dec_dn_11,decay_12,dec_up_12,dec_dn_12,decay_13,dec_up_13,dec_dn_13,decay_14,dec_up_14,dec_dn_14,decay_15,dec_up_15,dec_dn_15,decay_16,dec_up_16,dec_dn_16,decay_17,dec_up_17,dec_dn_17,decay_18,dec_up_18,dec_dn_18,decay_19,dec_up_19,dec_dn_19,decay_20,dec_up_20,dec_dn_20,decay_21,dec_up_21,dec_dn_21,decay_22,dec_up_22,dec_dn_22,decay_23,dec_up_23,dec_dn_23,decay_24,dec_up_24,dec_dn_24,decay_25,dec_up_25,dec_dn_25,dec_tot,dec_tot_up,dec_tot_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.6,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.6,3.1,0.5,0.5,0,3.3333333333333335,grd,0
0.0,0.0,0.0,0.0,0.0,0.0,10.4,12.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,12.7,7.7,1.5,1.5,0,3.3333333333333335,grd,0
3.5,3.5,2.5,20.9,20.9,14.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,21.2,14.8,0.5,0.5,1,3.3333333333333335,lam,1
1.7,1.6,1.2,11.6,11.2,8.2,0.5,1.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,11.5,8.3,0.5,1.5,1,3.3333333333333335,lam,1
28.2,27.6,20.0,2.8,2.8,2.0,56.2,54.3,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.2,60.9,44.6,1.5,0.5,1,3.3333333333333335,lam,1
1.6,1.6,1.1,45.9,45.7,32.0,11.8,11.7,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.3,47.2,33.1,1.5,1.5,1,3.3333333333333335,lam,1
9.7,9.5,6.8,17.2,17.2,12.1,72.1,69.9,50.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,72.6,52.1,2.5,1.5,1,3.3333333333333335,lam,1
0.1,0.3,0.1,139.3,138.3,98.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.4,138.3,98.7,0.5,0.5,1,3.3333333333333335,rho,1
69.5,69.4,49.1,64.4,65.2,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.9,95.2,67.0,1.5,0.5,1,3.3333333333333335,rho,1
2.8,2.9,2.0,4.3,4.3,3.0,6.2,6.2,4.3,0.1,0.2,0.1,0.6,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.7,1.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,3.2,0.0,0.0,0.0,40.1,41.9,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.9,43.0,29.2,1.5,0.5,2,3.3333333333333335,lam,2
7.6,7.4,5.4,1.5,1.5,1.1,15.6,15.0,11.0,0.3,0.4,0.2,1.4,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,11.2,8.1,0.0,0.0,0.0,96.6,96.3,68.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5,98.5,70.1,2.5,0.5,2,3.3333333333333335,lam,2
0.1,0.1,0.1,7.0,6.8,4.9,2.3,3.2,1.8,0.0,0.0,0.0,0.5,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.4,5.0,2.4,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,5.8,3.6,0.0,0.0,0.0,63.5,63.9,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6,64.8,45.3,0.5,1.5,2,3.3333333333333335,lam,2
0.8,0.7,0.5,7.6,7.3,5.4,6.9,6.9,4.9,0.0,0.1,0.0,0.8,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.2,8.8,4.8,0.4,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,19.1,13.8,0.0,0.0,0.0,69.4,68.2,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.6,72.1,51.7,1.5,1.5,2,3.3333333333333335,lam,2
1.7,1.6,1.2,6.8,6.4,4.8,12.9,12.3,9.1,0.1,0.1,0.1,1.3,1.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,4.3,5.8,3.4,0.4,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6,39.4,28.8,0.0,0.0,0.0,69.6,67.0,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.6,79.2,58.1,2.5,1.5,2,3.3333333333333335,lam,2
2.3,2.3,1.6,8.0,8.3,5.8,19.0,18.8,13.6,0.1,0.2,0.1,2.1,2.2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.6,4.2,2.2,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4,57.4,41.1,0.2,2.3,0.2,57.7,62.7,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.7,87.6,60.7,3.5,1.5,2,3.3333333333333335,lam,2
0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.0,0.0,0.0,3.0,3.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.2,0.5,0.5,0,3.3333333333333335,rpl,2
0.1,0.1,0.0,0.4,0.4,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,0.0,0.0,0.0,2.2,2.1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,2.4,1.7,1.5,1.5,0,3.3333333333333335,rpl,2
0.2,0.3,0.2,0.1,0.1,0.0,2.8,2.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,12.2,8.5,0.2,0.2,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.3,0.4,0.3,0.1,0.2,0.1,0.4,0.4,0.3,0.3,0.3,0.2,1.2,1.2,0.9,0.2,1.5,0.2,0.0,0.0,0.0,6.2,6.2,4.4,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,14.2,9.8,0.5,0.5,0,3.3333333333333335,rpr,2
0.1,0.1,0.1,0.3,0.5,0.2,3.4,3.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,16.8,16.7,11.8,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.4,0.6,0.4,0.1,0.1,0.1,0.8,0.7,0.5,1.3,1.2,0.9,0.1,0.2,0.1,0.0,0.0,0.0,0.3,0.3,0.2,8.7,8.6,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,19.1,13.5,1.5,1.5,0,3.3333333333333335,rpr,2
7.3,7.2,5.1,123.4,118.5,86.1,0.0,0.0,0.0,1.3,1.2,0.9,0.0,0.0,0.0,9.4,24.3,9.4,0.1,0.4,0.1,219.0,210.9,152.9,21.0,20.5,14.7,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.4,2.4,5.3,11.4,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,10.7,3.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.8,244.6,176.5,1.5,0.5,2,3.3333333333333335,mix,2
80.6,82.9,56.8,79.7,85.5,56.8,0.0,0.0,0.0,8.6,9.1,6.1,0.0,0.0,0.0,1.8,3.4,1.8,1.2,4.0,1.2,69.0,76.1,49.3,3.1,3.5,2.2,0.0,0.0,0.0,0.0,0.0,0.0,15.1,16.4,10.8,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.6,0.7,0.4,1.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.8,142.7,95.1,2.5,0.5,2,3.3333333333333335,mix,2
0.0,0.0,0.0,2.3,2.4,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.9,2.1,1.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,3.2,2.1,0.5,0.5,1,3.3333333333333335,mix,2
1.3,1.3,0.9,1.2,1.2,0.8,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.2,1.4,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,2.8,1.9,1.5,0.5,1,3.3333333333333335,mix,2
2.1,4.0,1.8,1.6,4.3,1.5,0.0,0.0,0.0,1.6,1.6,1.1,0.0,0.0,0.0,9.2,19.3,9.2,1.0,3.9,1.0,27.1,31.8,20.2,3.7,3.7,2.6,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.1,4.4,3.0,5.5,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,9.0,3.6,0.3,1.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.4,40.0,23.5,0.5,0.5,0,3.3333333333333335,mix,2
52.2,52.9,36.7,3.8,4.0,2.7,126.3,125.2,88.1,4.5,4.6,3.2,12.4,12.8,8.7,223.5,221.2,156.2,0.4,0.6,0.3,2.3,3.3,1.7,2.2,2.3,1.6,1.5,3.0,1.5,1.3,4.0,1.3,8.4,8.5,5.9,8.8,8.7,6.2,14.2,14.6,10.1,1.4,16.1,1.4,0.0,0.0,0.0,113.4,111.9,79.3,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.7,284.2,200.2,1.5,0.5,2,3.3333333333333335,rho,2
88.3,86.6,63.3,55.7,55.2,40.0,165.6,161.6,118.5,10.4,10.3,7.5,26.2,25.8,18.8,119.9,144.3,88.5,1.5,1.4,1.1,76.1,83.2,55.3,4.9,5.2,3.5,3.7,6.9,3.7,0.2,0.6,0.2,22.5,22.2,16.1,2.5,3.0,1.9,0.9,1.3,0.7,0.5,4.3,0.5,0.0,0.0,0.0,56.7,68.4,41.9,0.7,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.3,265.4,181.6,2.5,0.5,2,3.3333333333333335,rho,2
17.7,19.4,12.8,16.0,16.5,11.4,219.2,219.4,156.3,0.7,1.0,0.5,10.9,14.3,8.2,13.5,13.1,9.6,694.3,676.1,492.3,14.3,17.6,10.8,5.1,5.0,3.6,0.4,0.6,0.4,2.9,7.1,2.9,0.2,0.7,0.2,13.7,13.8,9.8,19.0,19.9,13.7,0.3,2.1,0.3,0.0,0.0,0.0,6.8,6.6,4.8,350.0,341.4,248.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1385.1,789.8,573.9,0.5,1.5,2,3.3333333333333335,rho,2
14.4,14.9,10.2,4.3,4.5,3.1,134.4,134.2,94.5,1.3,1.3,0.9,13.9,14.7,9.9,26.0,25.9,18.3,299.9,307.4,212.0,40.0,42.0,28.4,2.5,2.8,1.8,0.6,0.9,0.5,5.1,10.1,5.1,2.3,2.4,1.6,15.9,15.8,11.2,36.8,38.2,26.1,0.7,4.1,0.7,0.0,0.0,0.0,13.1,13.0,9.2,153.0,155.7,108.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.3,376.4,260.5,1.5,1.5,2,3.3333333333333335,rho,2
14.2,14.1,10.0,78.3,81.4,55.3,81.0,81.2,57.1,2.1,2.1,1.5,19.8,19.7,14.0,16.0,15.9,11.2,30.6,33.1,21.8,68.8,71.4,48.5,7.2,7.4,5.1,1.1,1.6,0.9,5.3,8.7,5.1,4.9,5.0,3.5,13.9,14.0,9.8,23.1,23.8,16.4,0.8,3.2,0.8,0.0,0.0,0.0,8.0,8.0,5.6,16.2,17.4,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.1,146.8,100.8,2.5,1.5,2,3.3333333333333335,rho,2
29.0,29.0,20.4,180.6,180.9,127.0,220.2,218.2,154.7,3.3,3.3,2.3,33.6,34.0,23.6,33.7,37.5,24.3,245.6,340.2,186.7,278.5,282.4,195.8,19.4,20.1,13.7,2.0,2.6,1.6,2.6,5.4,2.4,6.9,7.0,4.8,14.7,16.9,10.6,25.8,33.8,19.4,0.6,2.2,0.6,0.0,0.0,0.0,16.2,18.2,11.7,114.4,162.2,87.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227.0,554.8,351.1,3.5,1.5,2,3.3333333333333335,rho,2
